infores_name,domain_coverage_score,domain_coverage_comments,source_scope_score,source_scope_score_comment,utility_drugrepurposing_score,utility_drugrepurposing_comment,noise_penalty_adjustment,noise_penalty_adjustment_comment,core_edge_family_flag,label_rubric_revised,reviewer
Kyoto Encyclopedia of Genes and Genomes (KEGG),3.0,"Entities seen: drug, target, disease; Relations: D-T, T-D, pathway, D-D present across multiple modules; xrefs common to DrugBank, UniProt, NCBI Gene, and disease ontologies; descriptors rich and multi-entity traversal supported",3.0,"Broad cross-disease and cross-species coverage; millions of pathway interactions; thousands of drugs, proteins, and diseases; multiple relation families and modalities including small molecules and enzymes",2.0,Direct edges: D-T and T-D available with curated mechanistic context but limited explicit clinical effect or AE data; direction often implied within pathways rather than stated; mappings to canonical IDs clean,0.0,Curated manual database with high precision ≥85%; mechanistic and pathway-based assertions; minimal generic associations,True,High,https://orcid.org/0000-0003-4097-3395
Zebrafish Information Network,2.0,Entities seen: gene phenotype disease and anatomy; relations include gene phenotype and gene disease associations plus expression and anatomy context; xrefs to human orthologs OMIM and MONDO present; no native drug entities,2.0,Model organism focused resource for zebrafish biology and disease models; thousands of genes and phenotypes; moderate scale and not general purpose,1.0,Indirect only; no D T D D indication or AE edges; disease relevance is via model organism mapping and requires translation to human pharmacology,0.0,No penalty: curated expert maintained database with high precision experimental annotations,True,Medium,https://orcid.org/0000-0003-4097-3395
Uber Anatomy Ontology,1.0,"Entity seen: anatomical structure only; relations limited to anatomical hierarchy, part_of, and develops_from; no drug, target, or disease entities; xrefs to FMA, CL, GO, and other anatomy ontologies common",3.0,Broad multi species anatomy ontology covering organs tissues and structures across vertebrates and invertebrates; backbone scale used widely for cross species integration,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; anatomy context supports localization and interpretation but not direct D→D modeling",0.0,No penalty: curated expert maintained ontology with deterministic anatomical relations and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Disease Ontology,1.0,Entities seen: disease; relations include disease hierarchy and curated cross references linking diseases to external resources including OMIM MeSH ICD and gene associations; no native drug or target entities,3.0,Broad general purpose disease ontology covering common and rare diseases across clinical and research domains; backbone scale used widely in biomedical KGs,1.0,Indirect only; no D-T T-D D-D indication or AE edges; disease gene links serve normalization and grounding rather than therapeutic modeling,0.0,No penalty: curated expert maintained ontology with deterministic relations and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
FlyBase,2.0,"Entities seen: gene, phenotype, anatomy, pathway; relations include gene-phenotype, gene-expression, genetic interaction, and functional annotation; xrefs to human orthologs, GO, and disease mappings present; no native drug entities",2.0,Model organism focused resource for Drosophila biology; thousands of genes and phenotypes; moderate scale and not general purpose,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; disease relevance inferred via orthology and phenotype similarity requiring translation to human pharmacology",0.0,No penalty: curated expert maintained database with high precision experimental annotations,True,Medium,https://orcid.org/0000-0003-4097-3395
Physician Data Query (PDQ) (from UMLS),2.0,"Entities seen: diseases and drugs; Relations: D-D (indication) and D-D (therapeutic use) appear consistently across entries; xrefs to UMLS, MeSH, and NCI Thesaurus present; descriptors usable but limited to cancer-related concepts",1.0,Niche scope: oncology-focused; human-only; covers limited therapeutic areas with a few thousand drugs and cancer indications; one dominant relation family (D-D/indication),2.0,Direct edges: D-D indication pairs mapped to cancer types; curated manually with clear therapeutic relevance; lacks direction/effect terms beyond indication context but well mapped to RxNorm and MeSH,0.0,Curated manual source from NCI; high precision ≥85%; minimal noise or generic associations,True,High,https://orcid.org/0000-0003-4097-3395
Saccharomyces Genome Database,2.0,"Entities seen: gene, phenotype, biological process, pathway; relations include gene-phenotype, gene-function, genetic interaction, and expression annotations; xrefs to GO, UniProt, and ortholog mappings present; no native drug entities",2.0,Model organism focused resource for budding yeast biology; thousands of genes and phenotypes; moderate scale and not general purpose,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; disease relevance inferred via conserved pathways and orthology requiring translation to human pharmacology",0.0,No penalty: curated expert maintained database with high precision experimental annotations,True,Medium,https://orcid.org/0000-0003-4097-3395
Human Developmental Anatomy Ontology,1.0,"Entity seen: developmental anatomical structure only; relations limited to anatomical hierarchy and develops_from over embryonic and fetal stages; no drug, target, or disease entities; xrefs to UBERON and other anatomy ontologies present",2.0,Human focused developmental anatomy ontology covering embryonic and fetal stages; moderate scale reference used for developmental annotation rather than general biomedical coverage,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; supports developmental localization and context but not direct D→D modeling",0.0,No penalty: curated expert maintained ontology with deterministic developmental relations and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
DrugMechDB,3.0,"Entities seen: drug, target gene protein, disease, biological process and pathway; Relations: D-T, T-D, and mechanistic causal links forming explicit drug-mechanism-disease paths; xrefs to DrugBank, ChEMBL, UniProt, MONDO observed",2.0,Focused scope on curated drug-mechanism-disease examples; limited number of drugs and diseases; moderate scale designed for mechanistic clarity rather than coverage,3.0,Multiple strong direct edge families present; mechanistic direction and effect explicit along paths; evidence and literature support provided; highly plug and play for D→D reasoning though not comprehensive,0.0,No penalty: manually curated mechanistic assertions with explicit causal structure and high precision,True,High,https://orcid.org/0000-0003-4097-3395
Guide to Pharmacology,3.0,"Entities seen: drug, target, disease; Relations: D-T and T-D consistently present with defined mechanisms (agonist, antagonist, modulator); xrefs rich across UniProt, ChEMBL, and PubChem; descriptors complete and support D→T→D traversal",2.0,"Multi-disease, human-focused coverage; thousands of targets and ligands; includes small molecules, peptides, and antibodies; moderate scale compared to DrugBank or ChEMBL but broad mechanistic range",3.0,"Direct edges: D-T/T-D with explicit pharmacologic effects; direction and mechanism clearly annotated; confidence high; mappings to UniProt, HGNC, and MeSH reliable",0.0,Curated manual database with expert review; precision ≥85%; mechanistic assertions with minimal noise or generic edges,True,High,https://orcid.org/0000-0003-4097-3395
MedlinePlus (from UMLS),1.0,"Entities seen: diseases and symptoms; relations mostly hierarchical or descriptive (“is_a,” “related to”); no D-T/T-D/D-D or AE edges; limited identifiers beyond UMLS and MeSH terms",2.0,Multi-disease coverage across many therapeutic areas; human-focused; tens of thousands of disease and condition entries; moderate breadth but no multi-modality or mechanistic relations,1.0,Indirect only; edges generic and undirected; content focused on patient-friendly disease and medication summaries rather than mechanistic or relational structure,-1.0,Moderate noise due to generic “related to” links and consumer-oriented descriptions; lacks precision scoring but not text-mined or raw triples,True,Low,https://orcid.org/0000-0003-4097-3395
Health Level Seven (HL7) (from UMLS),1.0,Entities seen: clinical data model concepts such as observation medication encounter and procedure; relations describe message structure and data exchange semantics; no intrinsic drug-target-disease relations; xrefs via UMLS present,3.0,Broad healthcare interoperability standard used across EHRs labs pharmacies and public health systems; large scale backbone for data exchange rather than biomedical knowledge,1.0,Indirect only; no D-T T-D D-D indication or AE edges; enables transport of clinical data but does not assert therapeutic or mechanistic relationships,0.0,"No penalty: formally specified standards (HL7 International Vocabulary Technical Committee expert curation; ANSI-accredited standards; rigorous standards development process (consensus-based, fit-for-purpose, implementable, maintained)) with deterministic structure and high precision",True,Medium,https://orcid.org/0000-0003-4097-3395
Drug Repositioning Database,2.0,"Entities seen: drug and disease; Relations: D-D indication and failed indication associations present; xrefs to DrugBank, ClinicalTrials identifiers, and disease ontologies observed; no target entities",2.0,"Focused scope on approved, withdrawn, failed, and repositioned drug indications; human only; moderate scale designed for repurposing use cases",3.0,Direct edges: D-D indications including approved and failed outcomes; clinical context explicit; negative examples present via failed trials; mappings usable for immediate D→D modeling,0.0,No penalty: manually curated from regulatory and clinical trial sources with high precision and explicit outcome labels,True,High,https://orcid.org/0000-0003-4097-3395
Healthcare Common Procedure Coding System (from UMLS),1.0,Entity seen: healthcare procedure and supply codes only; relations limited to hierarchical code groupings and administrative categories; no drug target or disease relations; xrefs primarily administrative via UMLS,3.0,Broad administrative coding system covering procedures durable medical equipment and supplies across US healthcare; large scale backbone for billing and reimbursement,1.0,Indirect only; no D-T T-D D-D indication or AE edges; procedural coding does not support therapeutic or mechanistic modeling,0.0,No penalty: curated administrative coding standard with deterministic structure and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Anatomical Therapeutic Chemical (ATC) Codes (from UMLS),1.0,"Entities seen: drugs only; relations limited to hierarchical classification (“is_a,” “belongs_to”); no D-T/T-D/D-D or AE edges; xrefs mainly to RxNorm and UMLS identifiers",2.0,Broad cross-disease human coverage with thousands of marketed drugs; global scope across all therapeutic classes; single relation family (hierarchical classification) but large-scale representation,1.0,Indirect only; no mechanistic or target-level edges; relations generic and undirected; useful for drug class grouping but not for therapeutic inference or modeling,0.0,Curated manual classification maintained by WHO; precision ≥85%; no text-mined or generic noisy data,True,Medium,https://orcid.org/0000-0003-4097-3395
eRAM: encyclopedia of rare disease annotations for precision medicine,2.0,"Entities seen: rare disease, gene target, phenotype, pathway; relations include disease-gene and disease-phenotype annotations; xrefs to OMIM Orphanet HPO and gene identifiers present; no native drug entities",2.0,Rare disease focused precision medicine resource; human only; moderate scale with deep annotation but narrow therapeutic breadth,1.0,"Indirect only; no D-T, D-D indication, or AE edges; annotations support mechanism and diagnosis but not direct D→D modeling",-1.0,Moderate noise due to partial literature text mining and associative disease-gene links; curated overlays present but confidence varies; filtering required,True,Low,https://orcid.org/0000-0003-4097-3395
RGD API,2.0,"Entities seen: gene, disease, phenotype, pathway, anatomy; relations include gene-disease, gene-phenotype, QTL, pathway, and expression annotations; xrefs to human orthologs, OMIM, MONDO, GO present; no native drug entities",2.0,Model organism focused resource centered on rat biology and disease models; thousands of genes and phenotypes; moderate scale and not general purpose,1.0,"Indirect only; no D-T, D-D indication, or AE edges; disease relevance is via rat models and orthology requiring translation to human pharmacology",0.0,No penalty: curated expert maintained database with experimental annotations and controlled vocabularies,True,Medium,https://orcid.org/0000-0003-4097-3395
Genomic Epidemiology Ontology,2.0,Entities seen: pathogen organism disease host population sample location and epidemiologic attribute; relations mainly hierarchical and contextual; xrefs to other ontologies present; no drug or target entities,2.0,Niche scope focused on genomic epidemiology and surveillance use cases; moderate scale ontology supporting outbreak and population level analysis,1.0,Indirect only; no D T T D D D indication or AE edges; supports surveillance and context but not therapeutic or D D modeling,0.0,No penalty: curated ontology with deterministic relations and no text mined generic assertions,True,Medium,https://orcid.org/0000-0003-4097-3395
PhosphoSitePlus,2.0,Entities seen: protein and upstream regulator; relations include regulator-modifies-protein PTM events at site level; xrefs to UniProt common; no drug or disease entities,3.0,Human focused curated PTM resource covering thousands of proteins and modification sites; moderate scale specialized to signaling and regulation,1.0,Indirect only; no D T T D D D indication or AE edges; PTM context supports mechanistic interpretation but not direct D D modeling,0.0,No penalty: manually curated from experimental literature with high precision and site specific evidence,True,Medium,https://orcid.org/0000-0003-4097-3395
Monarch Initiative,3.0,Entities seen: disease gene phenotype anatomy and model organism; Relations: T-D gene-disease associations disease-phenotype annotations orthology and phenotype similarity present; rich xrefs to MONDO OMIM Orphanet HPO ZFIN MGI FlyBase observed,3.0,Broad cross species integrated knowledge graph covering human and multiple model organisms; hundreds of thousands of associations across diseases genes phenotypes and anatomy; backbone scale for genotype-phenotype reasoning,2.0,Direct edges: T-D and disease-phenotype associations at scale; evidence and provenance tracked; no native D-T or D-D indication edges; supports D→T→D reasoning when integrated with pharmacology,0.0,No penalty: curated genotype-phenotype and disease annotations from authoritative sources; associations are expert-reviewed or algorithmically defined with high precision,True,High,https://orcid.org/0000-0003-4097-3395
UniChem,1.0,Entity seen: chemical compound identifier only; relations limited to identifier equivalence and cross reference mappings across databases; no drug target disease or therapeutic relations,3.0,Broad chemical identifier mapping backbone linking many major chemistry databases at large scale; covers millions of compounds across resources,1.0,Indirect only; no D-T T-D D-D indication or AE edges; supports identifier harmonization but not therapeutic or mechanistic modeling,0.0,No penalty: deterministic curated identifier mappings with high precision and no inferred assertions,True,Medium,https://orcid.org/0000-0003-4097-3395
The microRNA Database,1.0,Entity seen: microRNA only; relations limited to sequence family annotation and genomic context; xrefs to genome assemblies and identifiers present; no drug gene target or disease relations,3.0,Broad multi species repository of known microRNA sequences and annotations; large scale reference used widely across genomics research,1.0,Indirect only; no D-T T-D D-D indication or AE edges; supports regulatory biology but not direct D→D modeling,0.0,No penalty: curated sequence database with deterministic annotations and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
EPSD,2.0,Entities seen: protein substrate and kinase regulator; relations include kinase-substrate phosphorylation site annotations with site positions and modification types; xrefs to UniProt and gene identifiers present; no drug or disease entities,2.0,Eukaryote focused resource covering many species and thousands of phosphorylation sites; moderate scale specialized to signaling regulation,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; phosphorylation context supports mechanistic interpretation but not direct D→D modeling",0.0,No penalty: curated phosphorylation site annotations with site specific experimental evidence and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Phenotype and Trait Ontology,1.0,Entity seen: phenotypic quality only; relations limited to ontology hierarchy and attribute definitions; no drug target disease or gene entities; used as a modifier not a standalone biology source,3.0,Broad general purpose ontology used across species and phenotype systems; backbone scale as a quality vocabulary integrated into many phenotype frameworks,1.0,Indirect only; no D-T T-D D-D indication or AE edges; supports phenotype description but not therapeutic or D→D modeling,0.0,No penalty: curated ontology with deterministic definitions and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Molecular Interactions Controlled Vocabulary,1.0,Entity seen: interaction term only; relations limited to controlled vocabulary hierarchy describing interaction types detection methods and participant roles; no drug target gene or disease entities modeled,1.0,Niche scope: specific to protein-protein interaction experiment annotation; small-to-mid scale vocabulary; single domain (PPI experimental methods and types). Not broad/general-purpose: narrower than PATO which spans all phenotypes.,1.0,Indirect only; no D-T T-D D-D indication or AE edges; enables consistent annotation but does not assert biological or therapeutic relationships,0.0,No penalty: curated community standard vocabulary with deterministic structure and high precision,True,Low,https://orcid.org/0000-0003-4097-3395
Neuro Behavior Ontology,1.0,Entity seen: behavior and behavioral phenotype terms only; relations limited to ontology hierarchy and behavioral classification; no drug gene target or disease entities; xrefs to other phenotype ontologies present,2.0,Focused scope on neurobehavioral phenotypes across species; moderate scale ontology used for behavioral annotation rather than broad biomedical coverage,1.0,Indirect only; no D-T  T-D D-D indication or AE edges; supports behavioral phenotype annotation but not therapeutic or D D modeling,0.0,No penalty: curated ontology with deterministic definitions and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Biolink ontology,2.0,Entities seen: abstract categories for drug gene disease phenotype anatomy pathway and more; relations define predicate types such as treats interacts_with causes associated_with; rich identifiers and mappings defined but no instance data,3.0,Broad general purpose semantic layer spanning most biomedical domains; backbone ontology used across many large KGs including Monarch RTX KG2 and Ubergraph,1.0,Indirect only; Biolink defines schema and predicates but does not assert D-T T-D D-D indication or AE edges itself; utility is structural not evidentiary,0.0,No penalty: curated community ontology defining semantics not assertions; no text mined or ambiguous data,True,Medium,https://orcid.org/0000-0003-4097-3395
iPTMnet,2.0,Entities seen: protein substrate enzyme regulator and PTM site; relations include enzyme modifies protein at specific site with PTM type; rich xrefs to UniProt GO and protein identifiers; no drug or disease entities,2.0,Multi species PTM focused resource with thousands of proteins and modification events; moderate scale specialized to signaling and regulatory biology,1.0,Indirect only; no D-T T-D D-D indication or AE edges; PTM knowledge informs mechanism but requires external pharmacology and disease linkage,-1.0,Moderate noise due to partial text mining used to extract evidence from literature alongside curated sources; filtering by evidence type recommended,True,Low,https://orcid.org/0000-0003-4097-3395
Psychoactive Drug Screening Program,2.0,Entities seen: drug ligand and molecular target receptor transporter enzyme; relations include D-T binding and affinity measurements; descriptors include Ki IC50 assay type and target identifiers; no disease entities,2.0,Focused scope on psychoactive compounds and CNS relevant targets; human and model systems; moderate scale with hundreds to thousands of ligands and targets,1.0,Direct edges: D-T binding data with quantitative affinity and assay context; clean target identifiers; no native T-D or D-D indication edges so D→D requires integration,0.0,No penalty: experimentally generated binding data with standardized assays and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Relations Ontology,1.0,Entity seen: relation terms only; relations define abstract predicates such as part_of regulates occurs_in causally_related_to; no concrete drug gene disease or phenotype entities asserted,3.0,Broad foundational ontology used across OBO and biomedical ontologies as a relation backbone; large scale semantic infrastructure,1.0,Indirect only; no D-T T-D D-D indication or AE edges; enables consistent semantics but does not assert biological or therapeutic knowledge,0.0,No penalty: curated ontology defining relation semantics with deterministic structure and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Interaction Network Ontology,2.0,"Entities seen: genes, proteins, and interaction types; Relation: T-T (PPI) and T-P interaction families consistently defined; xrefs to UniProt and GO; descriptors cover interaction roles and participants but no drug or disease entities",2.0,Multi-organism coverage with broad representation of interaction types; mid-scale ontology with tens of thousands of relations; covers experimental and inferred PPIs; moderate domain breadth focused on molecular interactions,1.0,Indirect only; no D-T/T-D or D-D edges; edges generic “interacts with” or “binds” without pharmacologic or disease context; valuable for mechanistic enrichment but not direct repurposing,0.0,Curated ontology manually developed; high conceptual precision ≥85%; minimal generic noise beyond defined relation hierarchy,True,Medium,https://orcid.org/0000-0003-4097-3395
Biological Spatial Ontology,1.0,Entity seen: spatial and positional terms only; relations describe spatial relationships such as adjacent_to contained_in overlaps and orientation; no drug gene disease phenotype or pathway entities asserted,2.0,Specialized ontology focused on spatial descriptors used across anatomy and phenotype resources; moderate scale infrastructure component,1.0,Indirect only; no D-T T-D D-D indication or AE edges; supports anatomical and spatial reasoning but not therapeutic or D D modeling,0.0,No penalty: : curated ontology defining spatial relations with deterministic semantics and high precison,True,Medium,https://orcid.org/0000-0003-4097-3395
Dictyostelium discoideum anatomy,1.0,Entity seen: Dictyostelium anatomical structure only; relations limited to part_of and developmental hierarchy; no drug gene disease or phenotype entities asserted,1.0,Niche scope single model organism anatomy ontology with limited entity count and no cross species coverage,1.0,Indirect only; no D-T T-D D-D indication or AE edges; anatomy vocabulary does not support therapeutic or D D modeling,0.0,No penalty: curated anatomy ontology with deterministic structure and high precision,True,Low,https://orcid.org/0000-0003-4097-3395
